,NU_IDADE,TP_SEXO,TP_ESCOLA,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,acertos_mat
1509201,18,F,2,518.0,438.9,541.4,568.3,11
1509602,19,F,1,516.0,511.9,438.8,528.8,14
1509949,20,M,1,515.0,427.4,367.2,527.9,13
1510890,18,F,1,515.0,447.4,475.8,508.2,5
1514630,31,F,1,516.0,434.5,458.2,540.0,10
1516465,18,M,1,518.0,466.2,476.1,525.1,12
1521384,17,F,3,517.0,540.9,580.2,574.0,12
2292285,18,M,2,517.0,558.8,549.9,538.4,11
2292934,32,M,1,517.0,418.1,492.3,511.2,9
2293916,20,F,2,516.0,462.4,341.2,389.6,6
2303026,23,F,1,517.0,434.8,376.6,474.9,8
2303031,20,F,1,516.0,391.2,406.0,492.6,5
2307722,28,F,1,516.0,524.3,594.8,623.3,10
2310144,21,F,1,517.0,470.7,428.9,499.0,10
2310732,22,F,1,518.0,572.2,581.5,609.1,11
2314137,20,F,1,516.0,602.3,611.9,644.6,20
2315696,24,F,1,516.0,456.1,473.0,525.1,14
2317532,22,F,1,515.0,392.2,418.8,489.8,7
2318028,24,M,1,517.0,546.2,573.8,577.0,21
2324017,31,F,1,517.0,547.2,419.6,484.5,10
2326629,37,F,1,515.0,417.8,484.9,509.8,10
2327486,17,M,2,517.0,452.4,523.6,533.8,10
2328068,17,F,1,516.0,487.6,485.9,514.3,8
2328617,18,F,1,516.0,522.7,445.4,470.5,10
2330281,31,F,1,516.0,464.5,554.3,523.2,9
2330482,17,M,2,515.0,349.0,495.9,495.3,6
2330813,42,F,1,517.0,445.1,464.5,418.9,7
2330913,16,F,1,515.0,523.5,543.7,555.8,11
2331935,35,M,1,518.0,525.2,396.1,486.6,5
2339958,19,F,1,516.0,337.8,465.9,559.4,8
2342913,17,F,2,517.0,479.2,565.5,513.8,17
2343733,17,F,2,518.0,494.0,478.1,515.2,11
2346273,32,F,1,516.0,458.4,493.4,521.2,9
2352098,17,F,2,516.0,513.6,517.6,585.3,7
2357120,19,F,1,518.0,401.1,405.5,434.9,14
2363136,31,F,1,518.0,529.9,488.2,556.4,10
2366820,24,M,1,516.0,495.2,552.2,596.1,11
2373074,22,M,1,518.0,414.4,507.8,516.4,21
2376852,18,F,1,517.0,394.1,487.0,522.0,4
2383444,19,F,1,516.0,451.6,519.2,518.6,5
2388877,27,F,1,518.0,430.6,523.0,508.8,8
2388956,17,F,1,515.0,596.0,593.4,564.5,16
2395968,25,F,1,516.0,402.3,435.6,411.0,11
2396427,18,F,1,516.0,394.4,444.1,498.3,11
2611565,18,M,1,517.0,551.3,391.2,501.6,19
2616756,17,F,2,517.0,437.8,498.5,484.9,9
2619794,25,M,1,515.0,503.9,535.2,540.4,10
2623150,23,M,2,516.0,471.4,517.0,472.5,5
2633113,21,F,1,518.0,607.3,501.4,530.6,11
2634376,20,M,1,517.0,410.9,575.2,564.6,21
2635410,29,M,1,517.0,438.8,518.6,511.4,11
2639619,20,M,1,515.0,547.5,509.8,536.2,12
2646558,19,F,1,518.0,559.1,588.5,558.3,10
2647032,18,M,2,515.0,468.1,480.6,518.1,12
2648349,27,M,1,517.0,572.2,645.8,625.1,14
2650263,20,F,1,516.0,585.8,589.2,589.9,8
2652754,18,F,1,515.0,607.4,601.5,599.8,20
2652983,44,M,1,515.0,619.0,617.0,557.6,16
2654641,21,F,1,515.0,380.0,432.7,556.8,11
2655414,31,M,1,515.0,412.2,565.6,596.6,11
2655807,20,F,1,515.0,363.1,446.0,520.4,10
2657644,25,F,1,516.0,398.0,429.7,388.2,6
2658166,23,M,1,517.0,525.7,510.4,517.9,7
2661921,22,M,1,516.0,404.1,509.2,555.1,14
2662304,18,M,2,516.0,532.5,539.1,488.6,9
2667321,36,M,2,517.0,485.0,324.3,408.9,13
2668946,34,F,1,518.0,474.0,516.9,523.3,8
2669305,36,M,1,517.0,584.2,586.8,583.3,16
2669346,33,F,1,518.0,417.4,585.8,542.3,8
2670663,21,M,1,517.0,552.7,516.1,579.1,8
2672413,41,M,1,517.0,503.1,549.2,495.2,7
2673573,27,F,2,516.0,444.1,525.9,465.6,9
2681466,48,M,1,517.0,510.9,392.1,384.4,7
2685023,18,M,2,518.0,441.1,482.9,559.6,9
2686520,34,F,1,518.0,568.9,569.5,596.5,18
2694945,17,M,1,516.0,506.4,571.5,522.6,15
2695550,18,F,1,515.0,583.5,617.2,610.5,26
2695588,40,M,1,515.0,611.0,647.6,605.5,21
2704692,50,F,1,517.0,390.8,516.4,488.1,9
2705121,42,F,1,517.0,434.5,525.3,451.4,8
3012228,20,F,1,516.0,572.3,558.8,600.6,15
3014968,31,M,1,515.0,655.4,703.0,606.3,31
3043099,17,F,2,515.0,362.2,420.0,470.1,12
3043738,22,F,1,516.0,439.8,490.9,507.9,8
3043741,16,F,1,517.0,493.6,501.7,550.3,19
3047220,54,F,1,516.0,443.3,515.9,499.5,6
3064013,18,F,1,517.0,442.2,344.2,384.7,4
3066189,17,F,1,517.0,590.7,571.5,574.8,17
3066332,29,F,1,516.0,465.3,559.7,550.3,13
3078299,20,M,1,517.0,425.7,454.1,523.7,11
3080024,25,M,1,518.0,353.2,507.3,529.0,5
3191512,21,F,1,517.0,599.3,648.4,627.9,32
3194398,18,M,2,515.0,440.8,525.5,461.1,11
3194697,21,F,1,517.0,463.7,455.2,504.8,9
3201902,46,F,1,515.0,437.2,411.8,402.2,4
3202011,20,M,1,517.0,420.9,532.4,549.7,11
3204246,16,M,1,518.0,544.8,543.1,538.9,7
3209190,18,F,1,517.0,394.7,497.9,493.5,12
3209550,18,F,1,516.0,434.2,534.6,555.4,11
3210576,18,F,2,517.0,384.6,343.4,505.9,14
3211094,22,F,1,517.0,375.5,404.0,456.2,7
3214025,17,F,3,518.0,526.3,622.5,588.0,18
3214068,24,M,1,515.0,461.9,436.4,521.7,11
3217885,30,F,1,518.0,632.8,615.7,595.5,18
3218627,17,M,2,518.0,412.8,542.6,480.4,12
3220352,22,F,1,517.0,383.3,478.4,395.9,9
3224109,17,M,2,516.0,517.8,498.7,497.5,6
3229133,22,F,1,518.0,387.4,528.1,525.0,12
3231048,21,F,1,517.0,426.4,432.5,489.1,8
3231152,28,M,1,516.0,588.1,669.6,631.8,23
3233704,20,F,1,515.0,475.1,499.2,545.1,11
3240337,17,M,2,517.0,436.6,495.6,504.1,10
3264951,19,F,1,515.0,582.2,406.9,544.9,9
3271814,19,F,1,516.0,433.5,489.4,486.5,10
3287551,18,F,2,516.0,478.4,434.6,501.3,6
3289041,26,F,1,515.0,592.7,533.4,586.3,15
3290658,32,M,1,518.0,533.8,536.2,536.5,11
3350905,29,M,1,518.0,424.9,611.4,590.2,14
3351667,27,M,1,518.0,372.1,526.1,538.2,10
3354350,17,F,2,516.0,493.2,525.2,545.8,4
3354821,21,M,1,515.0,434.8,528.2,522.9,8
3361275,31,M,1,515.0,673.0,694.2,613.9,24
3364131,19,F,1,516.0,429.0,421.8,499.5,6
3376594,17,F,1,516.0,413.7,463.0,504.4,11
3380449,47,F,1,516.0,439.9,462.0,484.8,10
3384140,20,F,1,518.0,373.9,466.7,455.2,6
3384178,20,M,1,517.0,442.0,497.5,536.4,12
3389558,19,M,1,518.0,466.5,455.9,446.3,15
3389824,16,F,1,517.0,498.9,587.1,599.7,11
3390312,18,F,2,515.0,455.3,497.2,457.5,11
3390664,20,F,1,518.0,423.2,449.1,523.7,12
3632602,40,M,1,515.0,506.6,387.6,448.6,6
3667232,17,F,2,515.0,460.3,467.3,367.1,8
3676384,43,F,1,515.0,503.4,517.5,473.2,7
3679709,30,F,1,517.0,442.4,520.5,569.8,9
3683260,21,F,1,517.0,544.9,563.6,539.9,11
3705991,21,M,1,515.0,516.2,515.9,575.3,17
3706522,40,M,1,517.0,432.0,618.9,585.1,10
3712698,17,F,1,517.0,502.4,514.7,480.2,8
3720509,25,F,1,515.0,411.2,466.1,479.7,5
3727760,17,F,1,518.0,421.3,416.6,473.3,8
3732712,21,M,1,518.0,580.9,604.1,608.6,11
3736108,26,M,1,516.0,472.6,442.8,516.3,12
3739798,21,F,1,518.0,423.6,334.8,532.7,10
3748417,34,F,1,515.0,595.1,575.1,603.2,12
3752017,17,M,1,516.0,488.7,546.3,536.5,9
